nazwa,min,max,sum,mean,var,std
DataFrameThreads,1622452.0,134136.0,167724.0,145121.0,169529.0,152841.0
DataFrame,1.03762E7,133729.0,2251801.0,1409632.0,1337264.0,1380166.0
DataFrameThreads,1101428.0,84479.0,104908.0,96796.0,94591.0,95362.0
DataFrame,72635.0,70240.0,94417.0,84826.0,83807.0,83670.0
DataFrameThreads,69990.0,69962.0,83059.0,83410.0,88741.0,83326.0
DataFrame,76782.0,71500.0,101530.0,102432.0,111275.0,87573.0
DataFrameThreads,70373.0,106862.0,90298.0,85955.0,83570.0,109161.0
DataFrame,81599.0,77563.0,84919.0,84138.0,82812.0,83256.0
DataFrameThreads,70160.0,72662.0,84282.0,91671.0,95032.0,84071.0
DataFrame,9702490.0,141118.0,2467977.0,1265263.0,1314406.0,1437013.0
DataFrameThreads,1122060.0,88534.0,106835.0,96436.0,96562.0,93673.0
DataFrame,85617.0,74345.0,103020.0,100918.0,111552.0,88558.0
DataFrameThreads,72566.0,74313.0,90405.0,97551.0,85083.0,83777.0
DataFrame,75271.0,78137.0,84215.0,83476.0,103732.0,84492.0
DataFrameThreads,77453.0,72098.0,84341.0,85130.0,90338.0,83964.0
DataFrame,72308.0,69703.0,82765.0,99666.0,89423.0,84001.0
DataFrameThreads,72759.0,84118.0,93997.0,104660.0,83817.0,88237.0
DataFrame,70123.0,69519.0,101410.0,100074.0,85765.0,94457.0
DataFrameThreads,72755.0,70621.0,104517.0,101794.0,75441.0,43998.0
DataFrame,32366.0,48391.0,83970.0,51745.0,39625.0,44579.0
DataFrameThreads,36920.0,35928.0,98500.0,48161.0,42100.0,37156.0
DataFrame,38422.0,63714.0,84976.0,84028.0,84154.0,82955.0
DataFrameThreads,81108.0,106030.0,95330.0,116513.0,84141.0,93535.0
DataFrame,68265.0,68346.0,85144.0,106698.0,89931.0,81763.0
DataFrameThreads,68005.0,67186.0,100888.0,89951.0,80807.0,82320.0
DataFrame,70354.0,67137.0,81602.0,79464.0,113948.0,80513.0
DataFrameThreads,67010.0,67069.0,79561.0,78792.0,95606.0,80907.0
DataFrame,66278.0,66712.0,131179.0,99128.0,82788.0,116316.0
DataFrameThreads,165540.0,128045.0,83366.0,78134.0,78154.0,77563.0
DataFrame,65345.0,94270.0,79557.0,83136.0,77066.0,76958.0
DataFrameThreads,91100.0,67620.0,76932.0,76568.0,144823.0,80339.0
DataFrame,68647.0,64230.0,78238.0,77673.0,99489.0,77604.0
DataFrameThreads,65179.0,64320.0,118281.0,79003.0,106828.0,98139.0
DataFrame,104526.0,66996.0,75529.0,100341.0,75789.0,78816.0
DataFrameThreads,64841.0,63559.0,74790.0,74767.0,74807.0,73564.0
DataFrame,76604.0,71395.0,90561.0,83963.0,84687.0,88940.0
DataFrameThreads,72097.0,70720.0,82897.0,83682.0,93461.0,84090.0
DataFrame,78865.0,72304.0,102244.0,99153.0,139198.0,95709.0
DataFrameThreads,72638.0,80496.0,89218.0,85941.0,82105.0,82370.0
DataFrame,75083.0,69344.0,80926.0,80796.0,87558.0,81444.0
DataFrameThreads,69314.0,72106.0,81561.0,83529.0,87624.0,82697.0
DataFrame,4250198.0,106767.0,1516189.0,678075.0,647214.0,709559.0
DataFrameThreads,471614.0,58290.0,77091.0,47696.0,45985.0,45511.0
DataFrame,34968.0,33122.0,41840.0,38725.0,38466.0,38150.0
DataFrameThreads,32387.0,32767.0,37684.0,37537.0,39857.0,38016.0
DataFrame,117338.0,123591.0,124046.0,125115.0,134088.0,122185.0
DataFrameThreads,100801.0,102311.0,121109.0,118443.0,129374.0,120027.0
DataFrame,5681201.0,108894.0,2909492.0,1798633.0,1692784.0,3382979.0
DataFrameThreads,1678054.0,115684.0,151514.0,132207.0,132201.0,136403.0
DataFrame,106434.0,100106.0,128837.0,124036.0,120758.0,119870.0
DataFrameThreads,103774.0,101282.0,140750.0,120648.0,146042.0,119573.0
DataFrame,96869.0,98021.0,153295.0,159167.0,167660.0,136080.0
DataFrameThreads,98419.0,103640.0,139938.0,118286.0,139230.0,141385.0
DataFrame,122593.0,96414.0,112127.0,113512.0,112724.0,122596.0
DataFrameThreads,93214.0,112377.0,112403.0,112323.0,119683.0,112561.0
DataFrame,73246.0,70715.0,95549.0,84034.0,83149.0,99591.0
DataFrameThreads,71827.0,70888.0,83152.0,84224.0,93317.0,83136.0
DataFrame,69091.0,69903.0,101760.0,102181.0,122616.0,98817.0
DataFrameThreads,71716.0,74379.0,98583.0,87027.0,83569.0,83974.0
DataFrame,88764.0,90114.0,83279.0,81698.0,86767.0,80269.0
DataFrameThreads,67029.0,70708.0,80363.0,80874.0,85139.0,80446.0
DataFrame,73246.0,70715.0,95549.0,84034.0,83149.0,99591.0
DataFrameThreads,71827.0,70888.0,83152.0,84224.0,93317.0,83136.0
DataFrame,69091.0,69903.0,101760.0,102181.0,122616.0,98817.0
DataFrameThreads,71716.0,74379.0,98583.0,87027.0,83569.0,83974.0
DataFrame,88764.0,90114.0,83279.0,81698.0,86767.0,80269.0
DataFrameThreads,67029.0,70708.0,80363.0,80874.0,85139.0,80446.0
